GlobalSequenceNumber,ConfigurationLayer,SourceFile,SourceLine,SourceSymbol,Channel,LogicalChannelIndex,ExpectedPrivateBank,SelectedBankBefore,BankSelectWrite,RegisterAddress,Operation,WriteData,WriteMask,ReadModifyWrite,KnownInitialBits,SymbolicUnknownBits,ComputedFinalValue,DelayBefore,DelayAfter,Condition,Reason,AuthorityReference
619,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
620,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
621,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
622,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH3 status,g2b_nvp_video_diag.sv:850
623,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
624,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
625,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
626,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
627,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH3 status,g2b_nvp_video_diag.sv:850
628,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
629,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
630,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
631,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
632,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH3 status,g2b_nvp_video_diag.sv:850
633,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
634,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
635,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
636,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
637,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH3 status,g2b_nvp_video_diag.sv:850
638,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
639,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: AGC lock,g2b_nvp_video_diag.sv:847
640,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
641,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: H lock,g2b_nvp_video_diag.sv:849
642,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_10_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: CH3 status,g2b_nvp_video_diag.sv:850
643,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,756,SESSION_11_CH4,CH4,3,0x08,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select Bank1,g2b_nvp_video_diag.sv:756
644,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_11_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
645,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,758,SESSION_11_CH4,CH4,3,0x08,0x01,NO,0xC2,WRITE,0x03,0x0F,YES,upper nibble retained from preceding C2 read,C2[7:4] source-preserved; runtime ledger resolves to 0x0,(C2_PRE[7:4]<<4)|0x3; observed 0x03,0,0,ALWAYS,select channel while preserving unrelated upper nibble,g2b_nvp_video_diag.sv:758
646,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,785,SESSION_11_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,route readback,g2b_nvp_video_diag.sv:785
647,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,787,SESSION_11_CH4,CH4,3,0x08,0x01,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,return to Bank0,g2b_nvp_video_diag.sv:787
648,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: NOVID,g2b_nvp_video_diag.sv:846
649,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
650,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
651,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
652,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH4 status,g2b_nvp_video_diag.sv:850
653,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
654,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
655,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
656,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
657,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH4 status,g2b_nvp_video_diag.sv:850
658,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
659,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
660,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
661,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
662,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH4 status,g2b_nvp_video_diag.sv:850
663,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
664,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
665,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
666,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
667,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH4 status,g2b_nvp_video_diag.sv:850
668,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
669,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: AGC lock,g2b_nvp_video_diag.sv:847
670,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
671,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: H lock,g2b_nvp_video_diag.sv:849
672,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_11_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: CH4 status,g2b_nvp_video_diag.sv:850
673,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,756,SESSION_12_CH1,CH1,0,0x05,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select Bank1,g2b_nvp_video_diag.sv:756
674,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_12_CH1,CH1,0,0x05,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
675,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,758,SESSION_12_CH1,CH1,0,0x05,0x01,NO,0xC2,WRITE,0x00,0x0F,YES,upper nibble retained from preceding C2 read,C2[7:4] source-preserved; runtime ledger resolves to 0x0,(C2_PRE[7:4]<<4)|0x0; observed 0x00,0,0,ALWAYS,select channel while preserving unrelated upper nibble,g2b_nvp_video_diag.sv:758
676,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,785,SESSION_12_CH1,CH1,0,0x05,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,route readback,g2b_nvp_video_diag.sv:785
677,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,787,SESSION_12_CH1,CH1,0,0x05,0x01,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,return to Bank0,g2b_nvp_video_diag.sv:787
678,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: NOVID,g2b_nvp_video_diag.sv:846
679,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
680,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
681,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
682,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH1 status,g2b_nvp_video_diag.sv:850
683,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
684,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
685,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
686,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
687,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH1 status,g2b_nvp_video_diag.sv:850
688,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
689,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
690,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
691,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
692,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH1 status,g2b_nvp_video_diag.sv:850
693,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
694,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
695,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
696,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
697,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH1 status,g2b_nvp_video_diag.sv:850
698,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
699,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: AGC lock,g2b_nvp_video_diag.sv:847
700,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
701,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: H lock,g2b_nvp_video_diag.sv:849
702,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_12_CH1,CH1,0,0x05,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: CH1 status,g2b_nvp_video_diag.sv:850
703,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,696,ROUND_4_BGDCOL,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select Bank0,g2b_nvp_video_diag.sv:696
704,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,697,ROUND_4_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x78,WRITE,0x34,0xFF,NO,N/A,NONE,0x34,0,0,ALWAYS,write Latin-square colors CH1/CH2,g2b_nvp_video_diag.sv:697
705,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,699,ROUND_4_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x79,WRITE,0x61,0xFF,NO,N/A,NONE,0x61,0,0,ALWAYS,write Latin-square colors CH3/CH4,g2b_nvp_video_diag.sv:699
706,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,722,ROUND_4_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x78,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify BGDCOL 0x78,g2b_nvp_video_diag.sv:722
707,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,724,ROUND_4_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x79,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify BGDCOL 0x79,g2b_nvp_video_diag.sv:724
708,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,756,SESSION_13_CH3,CH3,2,0x07,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select Bank1,g2b_nvp_video_diag.sv:756
709,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_13_CH3,CH3,2,0x07,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
